ID	DARE	Description	Pleiades
59	amphitheatre		amphitheatre
52	aqueduct/dam/cistern/spring	Aqueduct/dam/cistern/spring	aqueduct
98	archaeological site		
			arch
			archipelago
			architecturalcomplex
67	basilica		basilica
66	bath	Bath	bath
122	bishopric		
72	bouleuterion		
51	bridge	Bridge	bridge
74	building		
15	camp		
77	canal		canal
50	cape		cape
			cave
63	necropolis	Cemetery	cemetery
24	church	Church	church
128	church		church
69	circus		circus
11	city	Major settlement (capital, colonia, municipium)	
13	civitas	Civitas capital (Late Roman Gallia)	
52	aqueduct/dam/cistern/spring	Aqueduct/dam/cistern/spring	cistern
			city-gate
			city-wall
52	aqueduct/dam/cistern/spring	Aqueduct/dam/cistern/spring	dam
			ekklesiasterion
			estate
			estuary
			f
			findspot
			forest
18	fort	Fort (castrum, castellum)	fort
53	fortlet/tower	Fortlet, tower	
17	fortress	Major fort (legionary fortress)	fort
65	forum		
31	Iron-Age oppidum	Iron Age (Celtic) Oppidum	
			fountain
			garden-hortus
			hill
47	island		island
			lagoon
40	lake		lake
35	Late-Roman oppidum	Late Roman Oppidum	
76	lighthouse		lighthouse
			marsh-wetland
			military-installation-or-camp-temporary
57	mine/quarry	Mine, quarry or production	mine
			mosque
21	monastery	Monastery	
123	monastery		
64	monument	Monument	
46	mountain		mountain
33	NA		
44	NA		
105	NA		
124	nunnery		
19	oasis	Oasis	oasis
			palaistra
71	odeon		
49	pass	Pass	pass
			peninsula
			people
			plain
			plaza
56	port		port
58	production		production
43	rapid		
			province
			region
			reservoir
41	river		river
55	road/milestone	Road/milestone	road
99	ruins		
34	settlement		settlement
			settlement-modern
52	aqueduct/dam/cistern/spring	Aqueduct/dam/cistern/spring	spring
			stadion
70	stadium		stadium
16	station	Road or coastal station	station
			stoa
			taberna-shop
61	temple	Sanctuary or temple	temple
60	theatre		theatre
			townhouse
12	town	Settlement (civitas, vicus, other settlement)	
32	tumulus	Tumulus	tumulus
68	urban quarter		
			tunnel
			unknown
			urban
			valley
5	villa		villa
14	villa	Villa	villa
54	wall		wall
20	well		
			water-inland
			water-open
