id,ancient_name,lat,long,name,pleiades,latlong,country,city
36941,Zeus Thimenos,39.403473,28.573658,4 miles SE Sağırlar,609592,"39.403473,28.573658",TR, 
36631,Pagus Assalitanus,36.412262,9.342684,4 miles SE Thibursicum Bure,315102,"36.412262,9.342684",TN, 
14097,,45.120545,4.821011,Érôme,,"45.120545,4.821011",FR, Érôme
36907,Apollo,38.754645,30.697533,Çavdarlı,609311,"38.754645,30.697533",TR, 
36607,,40.770117,34.363792,İskilip,844955,"40.770117,34.363792",TR, 
36919,Meter Arezastis,39.218213,30.712999,"“Arezastis monument,” N Yazılıkaya",609465,"39.218213,30.712999",TR, 
36870,Kodrigai,36.670271,36.220709,"“Pillars of Jonas”, Sarıseki",658511,"36.670271,36.220709",TR, 
26181,,34.289435,35.84473,Aïn Akrine (Qasr Naous),668346,"34.289435,35.84473",LB, 
20829,,49.7793322131,6.5828471411,Aach,,"49.7793322131,6.5828471411",DE, Aach
43284,,33.50835,35.87329,Aaiha,,"33.50835,35.87329",LB, 
36910,Cybele,39.601295,28.858354,Aşağı Akçaalan,609352,"39.601295,28.858354",TR, 
36889,Forum Cambusis?,22.35937,31.64736,Abu Simbel,795808,"22.35937,31.64736",EG, 
37047,,22.3364985,31.6266735,Abu Simbel,721417202,"22.3364985,31.6266735",EG, 
37121,Aphrodite Aphakitis,34.06805,35.89278,Afqa,668195,"34.06805,35.89278",LB, 
36594,Apollo Korythos,36.857944,21.909984,Ag. Andreas,570096,"36.857944,21.909984",GR, 
36746,,38.768733,22.399625,Ag. Demetrios,540593,"38.768733,22.399625",GR, 
36593,,37.672577,24.325232,Ag. Eirene,570033,"37.672577,24.325232",GR, 
36780,,39.126969,26.21429,Ag. Isidoros,550409,"39.126969,26.21429",GR, 
36764,Kenaion,38.84043,22.866507,"Ag. Konstantinos, Cape Lithada",540858,"38.84043,22.866507",GR, 
36656,Hera,34.898922,32.616022,Ag. Moni,707515,"34.898922,32.616022",CY, 
36787,Dionysos Bresagenes,39.015443,26.166973,Ag. Phokas,550514,"39.015443,26.166973",GR, 
36643,,34.731871,33.139828,Ag. Tykhonas,707451,"34.731871,33.139828",CY, Agios Tychon
