,,,,,308,,,,
pid,reprLat,reprLong,title2,country,description,featureTypes,id,tags,timePeriodsRange
579885,37.971421,23.726166,Acropolis of Athens,GR,The acropolis of the ancient city,"temple,",acropolis-of-athens,"Poseidon, UWHS, Athena","-750.0,640.0"
599587,37.401667,25.267222,Agora of the Italians,GR,Hellenistic and Roman complex on the island of Delos,"temple,",agora-of-the-italians,,"-330.0,640.0"
462412,37.134221,15.025667,Anaktoron at Pantalika,IT,"The Anaktoron is an enigmatic megalithic building associated with the prehistoric Sicilian settlement of Pantalica; its polygonal blocks may date to the 12-11th c. BC, but the current form of the building seems to be the result of Byzantine reconstruction","unknown, temple,",anaktoron-at-pantalika,polygonal masonry,"-2000.0,850.0"
423013,41.839275,12.8917156,Antro delle Sorti,IT,Location based on OpenStreetMap; the cave of Fortuna.,"temple, cave,",antro-delle-sorti,,"-750.0,300.0"
413332,42.258811,11.801528,Ara della Regina,IT,A fourth to third century BC sanctuary at Tarquinia,"temple,",ara-della-regina,,"-330.0,300.0"
177490,47.217039,3.483594,Archaeological remains of Gallo-Roman temple and settlement,FR,,unknown,archaeological-remains-of-gallo-roman-temple-and-settlement,,"-330.0,640.0"
177603,47.1117209,7.2907005,Archaeological site of temple complex,CH,,unknown,archaeological-site-of-temple-complex,,"-30.0,640.0"
138454,47.299388,-1.376459,Archaeological site of the temple,FR,Site of Gallo-Roman sanctuary of Vieille-Cour at Mauves-sur-Loire (Loire-Atlantique),unknown,archaeological-site-of-the-temple,,"-30.0,640.0"
109278,49.9644208005,2.5540398372,Archaeological site of the temple,FR,,unknown,archaeological-site-of-the-temple,,"-330.0,640.0"
109248,48.163734,2.202981,Archaeological site: temple,FR,,"temple,",archaeological-site-temple,,"-30.0,640.0"
413107,42.410833,11.286111,Arx of Cosa,IT,The citadel of the ancient city and location of its Capitolium.,"temple,",capitolium-of-cosa,"Shrine, Iuppiter","-330.0,300.0"
570479,37.175372,21.920524,Asklepieion of Messene,GR,"The Asklepieion in Ancient Messene is a sanctuary of Asklepios, Greek god of healing, constructed in 214 BC; the complex includes civic as well as religious buildings","temple,",the-asklepieion,"temple, Asclepius, dare:feature=temple","-330.0,300.0"
256155,38.916421,-6.344272,Center of surviving colonnade of the imperial temple at Mérida,ES,"The incorrectly so-called ""Temple of Diana."" Digitized in Google Earth (with reference to geolocated Panoramio photos and Google Street View) in July 2012 at an eye altitude of 400m.","temple,",center-of-surviving-colonnade-of-the-imperial-temple-at-merida,,"-30.0,640.0"
570182,37.906033,22.879189,Center of the Temple of Apollo at Corinth,GR,The second temple of Apollo at Corinth whose reconstructed remains are visible on the site today.,unknown,center-of-the-temple-of-apollo-at-corinth,,"-550.0,640.0"
570531,37.637807,21.630049,Center of the Temple of Zeus at Olympia,GR,,unknown,center-of-the-temple-of-zeus-at-olympia,,"-750.0,300.0"
727070,31.181944,29.896944,Center of the visible remains of the Serapeum,EG,The Serapeum in Alexandria was a temple to Serapis erected by Ptolemy III in the 3rd century BCE. It was destroyed in 391 AD.,"architecturalcomplex, temple,",center-of-the-visible-remains-of-the-serapeum,place,"-330.0,300.0"
440947682,25.133999,32.817842,Center of Visible Remains of Settlement at El Kab,EG,The ancient settlements and temples surrounded by a fortified wall.,unknown,center-of-visible-remains-of-settlement-at-el-kab,,"-2950.0,-1086.0"
138492,45.282385,-0.838316,Center point of the remains of the temple,FR,,unknown,center-point-of-the-remains-of-the-temple,,"-30.0,640.0"
108822,49.941391,1.121853,Center point of the site,FR,"A Celtic and a Gallo-Roman oppidum (52 ha) with a temple (fanum). The site is located at Camp de César (also Cité de Limes), commune Bracquemont / Neuville-lès-Dieppe, département Seine-Maritime.",unknown,center-point-of-the-site,,"-330.0,300.0"
776186,25.522623,29.319825,Centerpoint of Ain Birbiyeh,EG,The centerpoint of the temple at Ain Birbiyeh,unknown,centerpoint-of-ain-birbiyeh,,"-330.0,-30.0"
17649950,51.512683,-0.091659,Centerpoint of current location,GB,The temple was relocated to this site shortly after its excavation from a nearby location.,unknown,centerpoint-of-current-location,,"1700.0,2100.0"
690508611,55.001553,-1.828568,Centerpoint of temple (approx),GB,,"temple,",centerpoint-of-temple-approx,,"-30.0,640.0"
17649950,51.512332,-0.090588,Centerpoint of the ancient site,GB,Findspot of temple. It was relocated shortly after its excavation to a nearby location.,unknown,centerpoint-of-the-ancient-site,,"-30.0,300.0"
462086,37.289646,13.591997,Centerpoint of the so-called Temple of Concordia at Agrigento,IT,DARMC location 19704 (500K scale point location),unknown,darmc-location-19704,,"-750.0,640.0"
599506,37.39947,25.267214,Sanctuary of Apollo on Delos,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
570059,37.891953,22.873608,Akrokorinthos,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
570148,37.429653,21.900415,Bassai,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
570288,38.028187,22.8522,Heraion,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
570289,37.691944,22.774722,Heraion (Argolis),GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
570316,37.915927,22.993169,Isthmia,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
638958,36.331944,29.289722,Letoon,TR,"Representative point location, site precision",temple,dare-location,,"-330.0,300.0"
599528,36.875681,27.257012,Asklepieion (Kos),GR,"Representative point location, site precision",temple,dare-location,,"-550.0,300.0"
295310,36.574975,2.552837,Monumentum Regiae Gentis,DZ,"Representative point location, site precision",temple,dare-location,,"-330.0,300.0"
148046,43.681944,5.197222,Château-Bas,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
148047,44.0619,5.681783,Châtelard de Lardiers,FR,"Representative point location, site precision",temple,dare-location,,"-750.0,640.0"
148174,43.532393,5.27003,Roquepertuse,FR,"Representative point location, site precision",temple,dare-location,,"-330.0,-30.0"
69544,48.346449,0.075101,Oisseau-Le-Petit,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
697687,30.907378,35.702957,Khirbet et-Tannur,JO,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
707476,34.672532,32.863627,Temple of Apollo Hylates,CY,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
707511,34.899649,32.311513,Geronisos,CY,"Representative point location, site precision",temple,dare-location,,"-330.0,300.0"
736952,29.27412,30.898765,Labyrinthos,EG,"Representative point location, site precision",temple,dare-location,,"-550.0,300.0"
736953,29.236192,30.970699,el-Lahun,EG,"Representative point location, site precision",temple,dare-location,,"-330.0,640.0"
589700,36.375016,28.030801,Temple of Apollo Erethimios,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
599529,37.077965,25.140825,Temple of Asklepieion,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
599641,37.67175,26.885663,Heraion,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
599719,38.004725,27.192987,Klaros,TR,"Representative point location, site precision",temple,dare-location,,"-750.0,-30.0"
599745,37.418971,27.819967,Labraunda,TR,"Representative point location, site precision",temple,dare-location,,"-550.0,640.0"
599855,37.703924,27.329993,Panionion,TR,"Representative point location, village precision",temple,dare-location,,"-750.0,300.0"
550734,39.196383,26.30533,Messon,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,640.0"
432813,41.110608,14.253623,Temple of Diana Tifatina,IT,"Representative point location, village precision",temple,dare-location,,"-550.0,640.0"
432886,42.002986,13.990212,‘Iovis Lareni’,IT,"Representative point location, site precision",temple,dare-location,,"-330.0,300.0"
432918,41.31056,13.20028,Lucus Feroniae,IT,"Representative point location, village precision",temple,dare-location,,"-330.0,300.0"
433025,41.740515,14.387746,Pietrabbondante,IT,"Representative point location, site precision",temple,dare-location,,"-550.0,-30.0"
433112,41.816036,14.484783,Schiavi,IT,"Representative point location, village precision",temple,dare-location,,"-330.0,-30.0"
442570,41.7081385,15.954751,Drion,IT,"Representative point location, site precision",temple,dare-location,,"-550.0,640.0"
540628,38.291099,23.846116,Amphiareion,GR,"Representative point location, site precision",temple,dare-location,,"-550.0,640.0"
540665,38.6367847,22.8955335,Temple of Artemis Elaphebolia,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
540667,39.017832,23.220954,Artemision,GR,"Representative point location, village precision",temple,dare-location,,"-750.0,640.0"
540844,38.318092,23.255096,Kabeirion,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
208942158,36.599168,9.863056,Untitled,TN,"Representative point location, site precision",temple,dare-location,,"-330.0,-30.0"
452332,39.028864,17.205128,Temple of Hera Lacinia,IT,"Representative point location, site precision",temple,dare-location,,"-750.0,640.0"
462114,37.059181,14.263184,Bitalemi,IT,"Representative point location, village precision",temple,dare-location,,"-750.0,-550.0"
786050,25.7191736,32.6566111,Karnak,EG,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
570504,37.808904,22.7108171,Nemea,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
579884,37.652965,24.027035,Temple of Athena,GR,"Representative point location, site precision",temple,dare-location,,"-550.0,300.0"
580086,37.650263,24.024606,Temple of Poseidon,GR,"Representative point location, site precision",temple,dare-location,,"-550.0,300.0"
521046,41.178655,29.094691,Temple of Iuppiter Urius,TR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
530771,38.953891,20.765852,Actium,GR,"Representative point location, village precision",temple,dare-location,,"-750.0,300.0"
531011,39.236223,20.534422,Nekromanteion,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,-30.0"
501510,40.5044122,25.5293013,Temple of Megaloi Theoi,GR,"Representative point location, site precision",temple,dare-location,,"-550.0,-30.0"
