id,lat,long
"257326PThe - Thebes (Egypt)",25.684,32.641
"292255SAmm - Ammon Oracle (Egypt)",29.2052,25.5435
"298313PMem - Memphis (Egypt)",29.849,31.255
"299529PPer - Persepolis (Iran)",29.9352,52.8909
"309306UNau - Naukratis (Egypt)",30.8972,30.5925
"312299IPha - Pharos (Egypt)",31.213,29.8856
"312299PAle - Alexandria (Egypt)",31.182,29.897
"313301UHer - Herakleion (Egypt)",31.304,30.1005
"315344UGaz - Gaza (Palestine)",31.523,34.432
"317345UAsh - Ashqelon (Israel)",31.6601,34.5464
"318352PJer - Jerusalem",31.7751,35.2341
"320348UJop - Ioppe (Israel)",32.054,34.752
"320350RPal - Palestine",32.0206,35.0001
"322482PSus - Susa (Iran)",32.191,48.247
"325349UCae - Caesarea (Israel)",32.5026,34.8914
"325444UBab - Babylon (Iraq)",32.542,44.421
"328219PCyr - Cyrene (Libya)",32.819,21.856
"329220PApo - Apollonia (Libya)",32.9016,21.9697
"329351UPto - Ake/Ptolemais (Israel)",32.9278,35.0817
"333352PTyr - Tyre (Lebanon)",33.272,35.196
"335354RPho - Phoenicia (Lebanon)",33.5,35.4
"336354PSid - Sidon (Lebanon)",33.56,35.371
"339355UBer - Berytus (Lebanon)",33.896,35.5056
"341356PByb - Byblos (Lebanon)",34.119,35.646
"347324UArs - Arsinoe? (Cyprus)",34.74,32.45
"347326PPal - PalaiPaphos (Cyprus)",34.7064,32.5829
"347329BKou - Kourion Stadium (Cyprus)",34.6912,32.8763
"347329PKou - Kourion (Cyprus)",34.666,32.884
"347329SApo - Kourion Apollo Hylates sanct. (Cyprus)",34.673,32.864
"347331PAma - Amathous (Cyprus)",34.712,33.144
"348323INou - Noumenion/Hiera I. (Cyprus)",34.724,32.435
"348323LZep - Zephyrion cape (Cyprus)",34.704,32.494
"348324PPap - Paphos (Cyprus)",34.757,32.407
"348325UHie - Hierokepis (Cyprus)",34.754,32.451
"348326SAPa - Paphia Aphrodite sanct. (Cyprus)",34.707,32.574
"348328LKou - Kourias? cape (Cyprus)",34.647,32.946
"348328WLyk - Lykos fl. (Cyprus)",34.699,32.891
"348338LThr - Thronoi cape (Cyprus)",34.945,33.858
"349241IKau - Kaudos (Gavdos)",34.851,24.11
"349248ULas - Lasaia (Irakleio)",34.9412,24.8258
"349249IOxe - Oxeia (Irakleio)",34.9294,24.9295
"349249PLeb - Leben (Irakleio)",34.932,24.924
"349261ULeu - Leuke (Lasithi)",34.941,26.1312
"349323UDre - Drepanon? (Cyprus)",34.902,32.321
"349336PKit - Kition (Cyprus)",34.920211,33.632745
"349359PAra - Arados (Arwad)",34.856,35.859
"350246ILet - Letoa (Rethymno)",35.0068,24.5891
"350248UMat - Matala (Irakleio)",34.9917,24.7492
"350249UPyl - Pyloros (Irakleio)",35.007,24.919
"350251LAst - Asterousia Mt. (Irakleio)",34.9615,25.0796
"350251UBen - Bene (Irakleio)",35.0033,25.0776
"350252URhy - Rhytion/Rhytiassos (Irakleio)",35.002,25.171
"350253PPri - Priansos (Irakleio)",35.0452,25.2505
"350253UIna - Inatos (Irakleio)",34.9878,25.2837
"350255UAri - Aria (Irakleio)",34.9926,25.4503
"350257PHie - Hierapytna (Lasithi)",35.0095,25.7388
"350260PSta - Stalai? (Lasithi)",35.0427,25.9721
"350261USyr - Syrinthos (Lasithi)",35.0115,26.121
"350262UAmp - Ampelos (Lasithi)",35.0403,26.2316
"350324PMar - Marion (Cyprus)",35.0392,32.4256
"350324UArs - Arsinoe (Cyprus)",35.034889,32.421841
"350330RCyp - Cyprus (Kypros)",35,33
"350332PTam - Tamassos (Cyprus)",35.028422,33.2421855
"350332WPed - Pediaios fl. (Cyprus)",35.0177035,33.2480351
"350334PIda - Idalion (Cyprus)",35.016,33.423
"350339UThr - Thronoi? (Cyprus)",34.979064,33.916416
"350341LPed - Pedalion cape (Cyprus)",34.9597177,34.0838064
"351245PBio - Bionnos? (Rethymno)",35.1465,24.5115
"351246LPsy - Psycheion cape (Rethymno)",35.1014,24.5601
"351246UPsy - Psycheion (Rethymno)",35.1052,24.5653
"351247UKor - Korion (Rethymno)",35.1312,24.6741
"351247USou - Soulia (Rethymno)",35.1014,24.6901
"351248PPha - Phaistos (Irakleio)",35.0512,24.8138
"351249UGor - Gortyna (Irakleio)",35.0594,24.95
"351250UAul - Aulon (Irakleio)",35.0586,24.9603
"351250UPan - Pannona (Irakleio)",35.1461,25.0354
"351252UPyr - Pyranthos (Irakleio)",35.0799,25.2039
"351253PArk - Arkades (Irakleio)",35.1024,25.3409
"351254PBia - Biannos (Irakleio)",35.0608,25.4029
"351256PMal - Malla (Lasithi)",35.0793,25.5792
"351257PIst - Istron (Lasithi)",35.1279,25.7392
"351257ULar - Larisa (Lasithi)",35.0793,25.6567
"351257UOle - Oleros (Lasithi)",35.086,25.711
"351258PMin - Minoa (Lasithi)",35.1108,25.8024
"351261PPra - Praisos (Lasithi)",35.1228,26.0907
"351323LAka - Akamas cape (Cyprus)",35.103333,32.2875
"351328PSol - Soloi (Cyprus)",35.1398,32.811959
"351335UGol - Golgoi (Cyprus)",35.0731,33.5478
"351336SAph - Aphrodite Golgia sanct. (Cyprus)",35.095,33.627
"351336UTre - Tremithous (Cyprus)",35.089,33.605
"351339PArs - Arsinoe?/Ammochostos (Cyprus)",35.118911,33.943765
"351340ULeu - Leukolla? (Cyprus)",35.057392,34.001837
"352236LKri - Kriou Metopon cape (Chania)",35.2319,23.5896
"352237UKal - Kalamyde (Chania)",35.2428,23.6925
"352238ULis - Lissos (Chania)",35.244,23.785
"352239UPoi - Poikilasion (Chania)",35.2425,23.8661
"352240LHer - Hermaia cape (Chania)",35.214,24.007
"352240PTar - Tarrha (Chania)",35.2362,23.97
"352241HPho - Phoinikous Limen (Chania)",35.1999,24.0731
"352241PAno - Anopolis (Chania)",35.214,24.085
"352241UAra - Araden (Chania)",35.2275,24.0603
"352241UPho - Phoinix (Chania)",35.1958,24.0777
"352243UPho - Phoinix (Rethymno)",35.1866,24.3467
"352244PApo - Apollonia (Rethymno)",35.205,24.3816
"352244ULam - Lamon (Rethymno)",35.1922,24.4005
"352248CIda - Idaion cave (Rethymno)",35.2083,24.8296
"352248CKam - Kamares cave (Irakleio)",35.1773,24.8274
"352248LIda - Ida Mt. (Rethymno)",35.2263,24.7708
"352250PRha - Rhaukos (Irakleio)",35.235,25.03
"350250URhi - Rhizenia? (Irakleio)",35.169,25.006
"352251ULyk - Lykastos (Irakleio)",35.2024,25.1016
"352252IKre - Crete (Greece)",35.2052,25.1836
"352252UDia - Diatonion? (Irakleio)",35.1869,25.2288
"352254CAig - Dictaean cave (Lasithi)",35.1627,25.4452
"352254PLyk - Lyktos/Lyttos (Irakleio)",35.2081,25.3682
"352257ULat - Kamara (Lasithi)",35.1896,25.719
"352261UPol - Polichna? Trypitos (Lasithi)",35.1986,26.1297
