"Tempel Elst",51.919846,5.849536,76,true,"Tempel, mogelijk gewijd aan Hercules Magusanus"
"Tempel Ulpia Noviomagus",51.849998,5.84497,77,true,"Tempel te Ulpia Noviomagus"
"Hafentempel Colonia Ulpia Traiana",51.66938,6.446255,102,true,"Hafentempel"
"Tempel Nehalennia Ganuenta",51.617485,3.823757,106,true,"Tempel van Nehalennia, Ganuenta. Locatie onzeker."
"Tempel te Cuijk",51.729328,5.883861,107,true,"Tempel te Cuijk"
"Tempel Nehalennia a",51.572906,3.501206,109,true,"Tempel Nehalennia"
"Tempel te Empel",51.73455,5.310704,110,true,"Tempel voor Hercules Magusanus, Empel"
"Tempel te Kessel",51.807156,5.403943,111,true,"Tempel vermoedelijk voor Hercules Magusanus, Kessel"
"Tempel te Rijsbergen",51.497391,4.683738,112,true,"Tempel gewijd aan 'Dea Sandraudiga'"
"Tempel te Roermond",51.202164,5.972786,113,true,"Tempel gewijd aan de godinne Rura"
"Jupitertempel Maastricht",50.847782,5.693367,114,true,"Jupitertempel, onder hotel Derlon"
"Tempel Elst-Westeraam",51.921257,5.857063,115,true,"Tempel Elst-Westeraam"
"Capitolium CCAA",50.934589,6.958396,357,true,"Tempel voor Jupiter, Juno en Minerva."
"Marstempel CCAA",50.937386,6.958447,358,true,"Tempel voor Mars, naast de marspoort."
"Gallo-romeinse tempels CCAA",50.934933,6.94602,359,true,"Gallo-romeinse tempels, gelegen aan de stadmuur."
"Temple Noviodunum",48.26062,-0.498666,429,true,"Temple de la Fortune et dédié à la déesse-mère et le dieu Océan."
"Mithraeum",51.512543,-0.090567,1485,true,"Temple of Mithras, discovered in 1954."
"Basilica Papale di San Pietro in Vaticano",41.902916,12.453389,1734,true,"Ad Sanctum Petrum is mentioned on the Peutinger map."
"Olympia",37.637817,21.630335,2134,true,"Temple complex Olympia"
"Nemea",37.809559,22.710318,2143,true,"Nemea temple complex"
"Teos, Dionysus Temple.",38.177292,26.785194,2296,true,"Dionysus temple at Teos."
"Coptos [Koptos], Temple of Min",25.997181,32.816021,2473,false,"Ptolemaic temple of Min and Isis"
"Little Petra - Triclinium",30.374411,35.449993,2936,true,"Triclinium at little Petra. Temple curved out in a rock face. OmnesViae import TPPlace468"
"Nisibis",37.066898,41.215164,3251,true,"Nisibis (Greek Νίσιβις; modern Nusaybin): ancient town in Mesopotamia, famous for its late-Roman school."
"Temple of Mithras - Carrawburgh",55.03384,-2.222543,4125,true,"A temple to the god Mithras, located near the Hadrian wall."
"Nymphaeum Aquae Segetae",48.115402,2.622707,4326,true,"Nymphaeum Aquae Segetae"
"Temple of Apollo, Pompeii",40.74921,14.4844,4349,true,"Temple of Apollo, Pompeii"
"Temple of Bellona at Ostia",41.752632,12.291518,4380,true,"A temple or sacellum dedicated to the goddess Bellona."
"Temple of Vesta, Tivoli",41.96674,12.800856,4381,true,"Temple of Vesta."
"Temple of Claudius at Colchester",51.890598,0.903046,4382,true,"Temple of Claudius at Colchester"
"Arthur's Oven",56.023811,-3.800071,4383,true,"A Roman temple which until 1743 stood on rising ground above the north bank of the River Carron"
"Roman Temple on Brean Down",51.324345,-3.015299,4384,true,"Roman Temple on Brean Down"
"Roman Temple at Pagans Hill",51.36079,-2.63727,4385,true,"Roman Temple at Pagans Hill"
"Temple of Sulis Minerva",51.381184,-2.360121,4387,true,"Temple of Sulis Minerva"
"Matronentempel Nettersheim",50.482342,6.618147,4905,true,"Matronentempel Nettersheim, Kult für Fruchtbarkeits- und Muttergottheiten"
"Gallorömischer Tempel Görresburg",50.482292,6.618158,4906,true,"Gallorömischer Umgangstempel Görresburg"
"Weihetempel Ernzen",49.84346,6.42365,4907,true,"Weihetempel Ernzen"
"Judenkirchhof - Römischer Tempelbezirk - Pelm",50.230743,6.674787,5696,true,"Judenkirchhof - Römischer Tempelbezirk - Pelm -point imported from roscheiderhof.de"
"Pilgerheiligtum von Hochscheid - Sirona-Tempel - Forsthaus Hoch",49.86454,7.232887,5697,true,"Pilgerheiligtum von Hochscheid - Sirona-Tempel - Forsthaus Hochscheid -point imported from roscheiderhof.de"
"Römische Tempelanlage Auf Borstadt - Schleidweiler",49.885769,6.658008,5699,true,"Römische Tempelanlage Auf Borstadt - Schleidweiler -point imported from roscheiderhof.de"
"Römische Tempelanlage - Gusenburg",49.642498,6.925347,5700,true,"Römische Tempelanlage - Gusenburg -point imported from roscheiderhof.de"
"Römische Tempelanlage - Schalkenmehren",50.151859,6.843915,5701,true,"Römische Tempelanlage - Schalkenmehren -point imported from roscheiderhof.de"
"Römischer Tempel - Niersbach",49.942722,6.755594,5702,true,"Römischer Tempel - Niersbach -point imported from roscheiderhof.de"
"Römischer Tempelbezirk auf dem Metzenberg - Tawern",49.664539,6.509661,5703,true,"Römischer Tempelbezirk auf dem Metzenberg - Tawern -point imported from roscheiderhof.de"
"Römischer Tempelbezirk - Nattenheim",50.020042,6.518407,5704,true,"Römischer Tempelbezirk - Nattenheim -point imported from roscheiderhof.de"
"Römischer Tempelbezirk - Otrang",50.013863,6.546174,5705,true,"Römischer Tempelbezirk - Otrang -point imported from roscheiderhof.de"
"Tempel am Herrenbrünnchen - Neu-Heiligkreuz",49.745407,6.646463,5707,true,"Tempel am Herrenbrünnchen - Neu-Heiligkreuz -point imported from roscheiderhof.de"
"Tempel auf dem Gelände des Mutterhauses - Altstadt",49.754078,6.630699,5708,true,"Tempel auf dem Gelände des Mutterhauses - Altstadt -point imported from roscheiderhof.de"
"Tempel mit Säulenvorbau - Alt-Heiligkreuz",49.746544,6.642509,5709,true,"Tempel mit Säulenvorbau - Alt-Heiligkreuz -point imported from roscheiderhof.de"
"Tempel mit Vorhalle - Alt-Heiligkreuz",49.746704,6.642539,5710,true,"Tempel mit Vorhalle - Alt-Heiligkreuz -point imported from roscheiderhof.de"
"Tempelanlage Beim Lindenkreuz - Münzschatz - Gusterath",49.703876,6.705217,5711,true,"Tempelanlage Beim Lindenkreuz - Münzschatz - Gusterath -point imported from roscheiderhof.de"
"Tempelanlage Beim Lindenkreuz - Umgangstempel - Gusterath",49.703884,6.705037,5712,true,"Tempelanlage Beim Lindenkreuz - Umgangstempel - Gusterath -point imported from roscheiderhof.de"
