1328,,,,,,,,,,,,,,,,,,
"Name","a","b","c","city","country","lat","long","source","vici_id","note","pleiades","dare","arach","livius","wikipedia","wikidata","Archis","http"
"Tempel Elst",,,," Elst","NL",51.919846,5.849536,"Vici.org",76,"Tempel, mogelijk gewijd aan Hercules Magusanus",,,,"place=elst",,,,
"Tempel Ulpia Noviomagus",,,," Nijmegen","NL",51.849998,5.84497,"Vici.org",77,"Tempel te Ulpia Noviomagus",,,,,,,,
"Hafentempel Colonia Ulpia Traiana",,,," Xanten","DE",51.66938,6.446255,"Vici.org",102,"Hafentempel",,,,,,,,
"Tempel Nehalennia Ganuenta",,,," Colijnsplaat","NL",51.617485,3.823757,"Vici.org",106,"Tempel van Nehalennia, Ganuenta. Locatie onzeker.",,,,"religion=nehalennia ",,,"monumentnummer:2333",
"Tempel te Cuijk",,,," Cuijk","NL",51.729328,5.883861,"Vici.org",107,"Tempel te Cuijk",,,,"place=ceuclum-cuijk",,,,
"Tempel Nehalennia a",,,," Domburg","NL",51.572906,3.501206,"Vici.org",109,"Tempel Nehalennia",,,,"religion=nehalennia",,,,
"Tempel te Empel",,,," 's-Hertogenbosch","NL",51.73455,5.310704,"Vici.org",110,"Tempel voor Hercules Magusanus, Empel",,39111,,"place=empel ",,"Q2663269",,
"Tempel te Kessel",,,," Maren-Kessel","NL",51.807156,5.403943,"Vici.org",111,"Tempel vermoedelijk voor Hercules Magusanus, Kessel",,,,,,,,
"Tempel te Rijsbergen",,,," Rijsbergen","NL",51.497391,4.683738,"Vici.org",112,"Tempel gewijd aan 'Dea Sandraudiga'",,17800,,,,,,
"Tempel te Roermond",,,," Roermond","NL",51.202164,5.972786,"Vici.org",113,"Tempel gewijd aan de godinne Rura",,,,,,,,
"Jupitertempel Maastricht",,,," Maastricht","NL",50.847782,5.693367,"Vici.org",114,"Jupitertempel, onder hotel Derlon",,,,"museum=maastricht-derlon-museum-cellar",,,,
"Tempel Elst-Westeraam",,,," Elst","NL",51.921257,5.857063,"Vici.org",115,"Tempel Elst-Westeraam",,,,,,"Q2556230",,
"Capitolium CCAA",,,," Köln","DE",50.934589,6.958396,"Vici.org",357,"Tempel voor Jupiter, Juno en Minerva.",,,,,,,,
"Marstempel CCAA",,,," Köln","DE",50.937386,6.958447,"Vici.org",358,"Tempel voor Mars, naast de marspoort.",,,,,,,,
"Gallo-romeinse tempels CCAA",,,," Köln","DE",50.934933,6.94602,"Vici.org",359,"Gallo-romeinse tempels, gelegen aan de stadmuur.",,,,,,,,
"Temple Noviodunum",,,," Jublains","FR",48.26062,-0.498666,"Vici.org",429,"Temple de la Fortune et dédié à la déesse-mère et le dieu Océan.",,18750,,,,,,
"Mithraeum",,,," London","GB",51.512543,-0.090567,"Vici.org",1485,"Temple of Mithras, discovered in 1954.",17649950,,,,,"Q1408799",,
"Olympia",,,," ","GR",37.637817,21.630335,"Vici.org",2134,"Temple complex Olympia",570531,,,,,,,
"Nemea",,,," ","GR",37.809559,22.710318,"Vici.org",2143,"Nemea temple complex",570504,,,,,,,
"Teos, Dionysus Temple.",,,," ","TR",38.177292,26.785194,"Vici.org",2296,"Dionysus temple at Teos.",550913,,,,,,,
"Coptos [Koptos], Temple of Min",,,," ","EG",25.997181,32.816021,"Vici.org",2473,"Ptolemaic temple of Min and Isis",786010,,,,,,,
"Little Petra - Triclinium",,,," ","JO",30.374411,35.449993,"Vici.org",2936,"Triclinium at little Petra. Temple curved out in a rock face. OmnesViae import TPPlace468",697725,,,,,,,
"Nisibis",,,," ","TR",37.066898,41.215164,"Vici.org",3251,"Nisibis (Greek Νίσιβις; modern Nusaybin): ancient town in Mesopotamia, famous for its late-Roman school.",874623,,,"place=nisibis-nusaybin ",,,,
"Temple of Mithras - Carrawburgh",,,," ","GB",55.03384,-2.222543,"Vici.org",4125,"A temple to the god Mithras, located near the Hadrian wall.",,,,,,,,
