id,name,dedicatee,type,location,modernplace,ancientplace,pleiadesplace,country,latitude,longitude,orientation,compass,vowed,date,startdateearly,startdatelate,century,enddate,preceded,succeeded,sex,dedicationday,deitytype,culture,style,extant,source,meetings,note,vici,pleiades,dare,arachne,livius,wikipedia,wikidata,digitalromanforum,digitalesforumromanum,trismegistos,ads,cona,topostext,url,checked,gs
"1000001",Temple of Aesculapius,Aesculapius,temple,Tiber Island,Rome,Rome,"423025",IT,41.890278,12.478333,,,"-292","-291","-291",,"-3",,,,M,January 1,hero,Roman,,,Ziolkowski,,,"23444",,,,,"Temple_of_Asclepius,_Rome",Q3983243,,,,,,419125SAsc,,,
"1000002",Temple of Apollo Palatinus,Apollo,temple,Palatine Hill,Rome,Rome,"423025",IT,41.888854,12.485741,"227",SW,,"-28","-28",,"-1",,,,M,,god,Roman,,,"Blake, Stamper",,,,,,"8606",,Temple_of_Apollo_Palatinus,Q1236860,,,,,,419125SApP,,,
"1000003",Temple of Apollo Sosianus/Medicus,Apollo,temple,Circus Flaminius,Rome,Rome,"423025",IT,41.8923136,12.4795912,"180",S,,"-431","-431",,"-5",,,,M,September 23,god,Roman,,,Stamper,senate,"vici.org; coords modified","15038","740034026",,"5665",,Temple_of_Apollo_Sosianus,Q582353,,,,,,419125SApo,,,
"1000004",Temple of Bellona,Bellona,temple,Circus Flaminius,Rome,Rome,"423025",IT,41.89238,12.47989,"180",S,"-296",-292-280,"-292","-280","-3",,,,F,June 3,god,Roman,,,Ziolkowski,senate,,,,,"3467477",,"Temple_of_Bellona,_Rome",Q2595680,,,,,,419125SBel,,,
"1000005",Temple of Bona Dea,Bona Dea,temple,Lesser Aventine,Rome,Rome,"423025",IT,41.880581,12.48979,,,,,"-123",,"-2",,,,F,May 1,god,Roman,,,Blake/Ziolkowski,,,,,,,,,,,,,,,,,,
"1000007",Temple of Castor(es),Castor(es),temple,Forum,Rome,Rome,"423025",IT,41.891773,12.485755,"24",NE,,"-484","-484",,"-5",,,,M,January 27/July 15,hero,Roman,,,blake,senate,Vici.org,"15011",,,"5807",,,Q380530,,,,,,419125SCas,,,
"1000008",Temple of Castor and Pollux,"Castor, Pollux",temple,Circus Flaminius,Rome,Rome,"423025",IT,41.8923,12.477,"30",NE,,-179-91,"-179","-91","-2",,,,M,August 13,hero,Roman,,,Coarelli,,,,,,"4052753",,,,,,,,,,,,
"1000009",Temple of Ceres and Faustina,"Ceres, Faustina",temple,,Rome,Rome,"423025",IT,41.857844,12.524306,,,,,,,,,,,F,,"god, family",Roman,,,,,"Vici.org, DARE",,"422889","22917",,,,,,,,,,,,,
"1000010","Temple of Ceres, Liber, and Libera","Ceres, Liber, Libera",temple,Aventine,Rome,Rome,"423025",IT,,,,,,"-493","-493",,"-5",,,,M/F,,god,Roman,,,,,,,,,,,"Sanctuary_of_Ceres,_Liber_and_Libera",Q3949870,,,,,,419125SCer,,,
"1000011",Temple,,temple,Cessati Spiriti,Rome,Rome,"423025",IT,41.862522,12.533184,,,,,,,,,,,,,,Roman,,,,,DARE,,"422892",,,,,,,,,,,,,,
"1000012",Temple of the Divine Claudius,Claudius,temple,Caelian Hill,Rome,Rome,"423025",IT,41.887594,12.493367,,,,40-60,"40","60","1",,,,M,,emperor,Roman,,,,,,,,,"6228",,Temple_of_Claudius,,,,,,,419125SCla,,,
"1000013",Temple of Concord,Concord,temple,Forum,Rome,Rome,"423025",IT,41.89293,12.484245,"123",SE,,"-121","-121",,"-2",,,,F,22 July/16 January,concept,Roman,,,Blake,senate,,,,,"5742",,,,,,,,,419125SCon,,,
"1000014",Temple of Cybele/Magna Mater,Cybele/Magna Mater,temple,Palatine Hill,Rome,Rome,"423025",IT,41.889554,12.484984,"203",SW,,"-191","-191",,"-2",,,,F,April 11,god,Roman,,,Stamper,senate,Vici.org,"17956",,,"9110",,Temple_of_Cybele_(Palatine),Q383609,,,,,,419125SMMT,,,
"1000015",Temple of Dea Dia,Dea Dia,temple,,Rome,Rome,"423025",IT,41.83614,12.44195,,,,,,,,,,,F,,god,Roman,,,,,DARE,,"422916","37153",,,,,,,,,,,,,
"1000016",Temple of Diana,Diana,temple,Aventine,Rome,Rome,"423025",IT,41.882828,12.483194,,,,-499-400,"-499","-400","-5",,,,F,August 13,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000017",Temple of the Divine Antoninus and the Divine Faustina,"Antoninus, Faustina",temple,Forum,Rome,Rome,"423025",IT,41.892139,12.486689,"217",SW,,"141","141",,"2",,,,M/F,,"emperor, family",Roman,,,Blake,,Vici.org,"15009",,,"5645",,Temple_of_Antoninus_and_Faustina,Q752555,,,,,,419125SFas,,,
"1000018",Temple of the Divine Augustus,Augustus,temple,,Rome,Rome,"423025",IT,41.891616,12.484471,,,,,,,,,,,M,,emperor,Roman,,,Blake,,,,,,"5743",,Temple_of_Divus_Augustus,Q927222,,,,,,419125SDAT,,,
"1000019",Temple of the Divine Julius,Julius,temple,Forum,Rome,Rome,"423025",IT,41.891943,12.486246,"300",NW,,"-29","-29",,"-1",,,,M,August 18,emperor,Roman,,,Stamper,,,"15048",,,"5744",,,Q1133288,,,,,,419125SJul,,,
"1000020",Temple of the Divine Romulus,Romulus,temple,Forum,Rome,Rome,"423025",IT,41.891846,12.487166,"205",SW,,,,,,,,,M,,hero,Roman,,,,,Vici.org,"15044",,,"10545",,Temple_of_Romulus,,,,,,,419125SRom,,,
"1000021",Temple of the Divine Trajan,Trajan,temple,Forum of Trajan,Rome,Rome,"423025",IT,,,,,,"128","128",,"2",,,,M,,emperor,Roman,,,Stamper,,,,,,,,,,,,,,,,,,
"1000022",Temple of Elagabal,Elagabal,temple,,Rome,Rome,"423025",IT,41.889603,12.488894,,,,,,,,,,,M,,emperor,Roman,,,,,Vici.org,"11503",,,,,,,,,,,,,,,
"1000023",Temple of Feronia,Feronia,temple,Campus Martius,Rome,Rome,"423025",IT,41.895163,12.476723,"90",E,-292-219,-292-219,"-292","-219","-3",,,,F,November 13,god,Roman,,,Stamper/Ziolkowski,,Pleiades: Temple C,"39266",,,"5865",,,Q1541068,,,,,,,,,
"1000024",Temple of Fides,Fides,temple,Capitoline,Rome,Rome,"423025",IT,41.8914,12.4812,,,,"-254","-254",,"-3",,,,F,October 1,concept,Roman,,,Ziolkowski,senate,,,,,,,Temple_of_Fides,Q3983246,,,,,,,,,
