"id","lat","long"
"1000001 - Temple of Aesculapius",41.890278,12.478333
"1000002 - Temple of Apollo Palatinus",41.888854,12.485741
"1000003 - Temple of Apollo Sosianus/Medicus",41.8923136,12.4795912
"1000004 - Temple of Bellona",41.89238,12.47989
"1000005 - Temple of Bona Dea",41.880581,12.48979
"1000007 - Temple of Castor(es)",41.891773,12.485755
"1000009 - Temple of Ceres and Faustina",41.857844,12.524306
"1000011 - Temple of Cessati Spiriti",41.862522,12.533184
"1000012 - Temple of the Divine Claudius",41.887594,12.493367
"1000013 - Temple of Concord",41.89293,12.484245
"1000014 - Temple of Cybele/Magna Mater",41.889554,12.484984
"1000015 - Temple of Dea Dia",41.83614,12.44195
"1000016 - Temple of Diana",41.882828,12.483194
"1000017 - Temple of the Divine Antoninus and the Divine Faustina",41.892139,12.486689
"1000018 - Temple of the Divine Augustus",41.891616,12.484471
"1000019 - Temple of the Divine Julius",41.891943,12.486246
"1000020 - Temple of the Divine Romulus",41.891846,12.487166
"1000021 - Temple of the Divine Trajan",41.895471,12.484645
"1000022 - Temple of Elagabal",41.889603,12.488894
"1000023 - Temple of Feronia",41.895163,12.476723
"1000024 - Temple of Fides",41.8914,12.4812
"1000029 - Temple of Fortuna Huiusce Diei",41.895387,12.476839
"1000030 - Temple of Fortuna",41.890556,12.480833
"1000031 - Temple of Fortuna Muliebris",41.843745,12.555806
"1000032 - Temple of the Divine Hadrian",41.899876,12.479621
"1000034 - Temple of Hercules Musarum",41.8931188,12.477733
"1000037 - Temple of Hercules Victor/Invictus",41.8887057,12.4806393
"1000039 - Temple at Il Torraccio",41.994283,12.492366
"1000040 - Temple of Isis at via Labicana",41.890049,12.501237
"1000041 - Temple of Isis/Serapis",41.897221,12.479167
"1000042 - Temple of Janus",41.891289,12.479947
"1000043 - Temple of Juno Curritis",41.894862,12.476906
"1000045 - Temple of Juno Moneta",41.894009,12.483497
"1000046 - Temple of Juno Regina",41.88444,12.47972
"1000047 - Temple of Juno Regina",41.893141,12.478602
"1000048 - Temple of Juno Sospita",41.891093,12.479937
"1000049 - Temple of Jupiter",41.840026,12.536854
"1000050 - Capitolium",31.776306,35.235619
"1000051 - Temple of Jupiter",33.510833,36.300833
"1000052 - Temple of Jupiter",33.966667,36.666667
"1000053 - Temple of Jupiter",34.006839,36.203397
"1000054 - Temple of Jupiter Anxur",41.290817,13.260113
"1000056 - Temple of Jupiter Custos",41.891825,12.481892
"1000057 - Temple of Jupiter Dolichenus",41.88319,12.4804
"1000062 - Temple of Jupiter Capitolinus/Optimus Maximus",41.892222,12.481667
"1000064 - Temple of Jupiter",40.7499,14.4845
"1000066 - Temple of Jupiter Stator",41.890487,12.488793
"1000067 - Temple of Jupiter Stator",41.892897,12.479021
"1000070 - Temple of Jupiter/Baalshamin",33.112906,35.531175
"1000071 - Temple of Juturna",41.895664,12.476876
"1000074 - Temple of the Lares Permarini",41.894983,12.476957
"1000078 - Temple of Mars Ultor",41.894444,12.486944
"1000079 - Temple of Mater Matuta",41.890556,12.480833
