"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4X6BANE3","journalArticle","1993","Ziolkowski, Adam","Between geese and the auguraculum: the origin of the cult of Juno on the arx","Classical Philology","","","","","","1993","2011-02-09 05:20:23","2013-08-11 00:10:58","","206-219","","","88","","CP","","","","","","","","","","","","","","0011","","","/Users/john_muccigrosso/Documents/Zotero data/storage/T4WGD5FT/Ziolkowski - 1993 - Between geese and the auguraculum the origin of t.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B2S2H8MU","journalArticle","1905","Stuart, Duane Reed","Reputed influence of the dies natalis in determining the inscription of restored temples","Transactions of the American Philological Association","","","10.2307/282663","","","1905","2011-02-09 05:20:23","2016-04-21 14:01:57","","52-63","","","36","","TAPA","","","","","","","","","","","","","","0045","","","/Users/john_muccigrosso/Documents/Zotero data/storage/P4NGFR7A/Stuart - 1905 - Reputed influence of the dies natalis in determini.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HFBTGZDC","journalArticle","1996","Ziolkowski, Adam","Review of A New Topographical Dictionary of Ancient Rome, Lawrence Richardson, Jr","Gnomon","","0017-1417","","http://www.jstor.org/stable/27692132","","1996","2016-10-13 19:18:32","2016-11-28 23:50:56","2016-10-13 19:18:32","53-56","","1","68","","Gnomon","","","","","","","","","","","","","JSTOR","","00000","","/Users/john_muccigrosso/Documents/Zotero data/storage/A4G5JXAP/Ziolkowski and Richardson - 1996 - Review of A New Topographical Dictionary of Ancien.pdf","","temples","","","","","","","","","","","","","","","","Richardson, Lawrence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DPSV2IE2","journalArticle","1925","Frank, Tenney; Stevens, Gorham Phillips","The First and Second Temples of Castor at Rome","Memoirs of the American Academy in Rome","","0065-6801","10.2307/4238526","http://www.jstor.org/stable/4238526","","1925","2016-08-13 18:18:05","2016-10-19 02:14:33","2016-08-13 18:18:05","79-102","","","5","","Memoirs of the American Academy in Rome","","","","","","","","","","","","","JSTOR","","00015","","/Users/john_muccigrosso/Documents/Zotero data/storage/PIT4FU7X/Frank and Stevens - 1925 - The First and Second Temples of Castor at Rome.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"679J6PNQ","thesis","1998","Muccigrosso, John D; Potter, David S.","Factional competition and monumental construction in mid-Republican Rome","","","","","http://search.proquest.com/docview/304443512","The late fourth and early third centuries B.C. witnessed important changes in the internal political structure of the Roman state as well as the rise of Rome to dominance of the Italian peninsula. At the same time, a number of different forms of public display became popular in the city, including temple foundations, building decoration and funerary games. In order to understand the relationship between these two phenomena, I undertake an examination of the ancient literary evidence for this period, emphasizing the survival of mid-Republican texts to later times. I then turn to the career of Appius Claudius Caecus, one of the major political figures of that time. Based on the results of this analysis, I apply a recently developed anthropological model of group activity, known as factionalism, to Agpius and the men associated with him in the sources. This model posits the existence of groups of men, bound together in order to achieve various personal political goals, and working within the existing political structure, though often engaged in innovative behavior which results in the evolution of their political system. In the case of Appius and his allies and opponents, factionalism is able to account for several of the activities of public display in which they engage, which appear not to be isolated, but instead direct responses to one another. More broadly, it suggests that the introduction of new agents into Roman politics during the fourth century is responsible for the rise in public displays. The model is also successfully applied to other examples of display centering on the figure of Q. Fabius Maximus Rullianus, one of the men consistently opposed to Appius. I also suggest that factional competition can be used to explain the location of various temples around Republican Rome, and that such competition may have great explanatory power for many observed displays throughout the Republic. The existence of factionally driven innovation and competition may also help explain the circumstances leading to the downfall of the Republic.","1998","2011-09-25 00:49:19","2016-11-25 23:10:30","","","","","","","","","","","","","University of Michigan","United States -- Michigan","Eng","","","","","","0000","Ph.D.; University of Michigan","","; /Users/john_muccigrosso/Documents/Zotero data/storage/WW64U4TP/Muccigrosso - 1998 - Factional competition and monumental construction .pdf; /Users/john_muccigrosso/Documents/Zotero data/storage/FV7C7XVJ/Muccigrosso dissertation - John Muccigrosso.pdf","http://search.proquest.com/docview/304443512?accountid=10558","temples","","","","","Potter, David S.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XVDTSUPQ","journalArticle","1890","Hussey, George Benjamin","The Distribution of Hellenic Temples","The American Journal of Archaeology and of the History of the Fine Arts","","1540-5079","10.2307/496151","http://www.jstor.org/stable/496151","","1890","2016-04-11 19:21:51","2016-12-26 23:55:54","2016-04-11 19:21:51","59-64","","1/2","6","","AJA","","","","","","","","","","","","","JSTOR","","","","/Users/john_muccigrosso/Documents/Zotero data/storage/BJ7IZ69W/Hussey - 1890 - The Distribution of Hellenic Temples.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CT2FJU6F","book","1992","Ziolkowski, Adam","The Temples of Mid-Republican Rome and their historical and topographical context","","88-7062-798-5 978-88-7062-798-5","","","","","1992","2016-04-05 20:42:35","2016-04-05 20:42:47","","","","","","","","","","","","","""L'Erma"" di Bretschneider","Roma","English","","","","","Open WorldCat","","","","/Users/john_muccigrosso/Documents/Zotero data/storage/Z4NC3T45/Ziolkowski - 1992 - The Temples of Mid-Republican Rome and their histo.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXNDDH7G","journalArticle","2010","Leach, Eleanor W.","Fortune's extremities: Q. Lutatius Catulus and Largo Argentina temple B: A Roman consular and his monument","Memoirs of the American Academy in Rome","","0065-6801","","http://www.jstor.org/stable/41419690","","2010","2016-04-11 20:11:14","2016-04-11 20:21:45","2016-04-11 20:11:14","111-134","","","55","","MAAR","FORTUNE'S EXTREMITIES","","","","","","","","","","","","JSTOR","","","","/Users/john_muccigrosso/Documents/Zotero data/storage/99RUPMF5/Leach - 2010 - Fortune's extremities Q. Lutatius Catulus and Lar.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P78CTGQM","journalArticle","2010","Gee, Regina","The Lucus Furrinae and the Syrian Sanctuary on the Janiculum: Encroachment? Or Renovation and Transformation?","Bollettino di Archeologia","","","","","","2010","2016-11-08 16:11:01","2016-11-08 16:19:04","","42-48","","Edizione speciale - Congresso di Archeologia A.I.A.C. 2008","","","","","","","","","","","","","","","","","","","","/Users/john_muccigrosso/Documents/Zotero data/storage/5BWEBSTI/Gee - 2010 - The Lucus Furrinae and the Syrian Sanctuary on the.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAXBJ4NX","journalArticle","1962","Strong, D. E.; Perkins, J. B. Ward","The Temple of Castor in the Forum Romanum","Papers of the British School at Rome","","0068-2462","","http://www.jstor.org/stable/40310626","","1962","2016-08-13 19:06:34","2016-10-19 02:14:34","2016-08-13 19:06:34","1-30","","","30","","Papers of the British School at Rome","","","","","","","","","","","","","JSTOR","","00037","","/Users/john_muccigrosso/Documents/Zotero data/storage/33SX3IXD/Strong and Perkins - 1962 - The Temple of Castor in the Forum Romanum.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
